String,Value,Remoteness
-x-ox--o-,Win,3
xx-ox--o-,Lose,2
xxoox--o-,Win,1
--xox--o-,Win,1
x-xox--o-,Lose,2
xoxox--o-,Win,1
-xxox--o-,Lose,2
oxxox--o-,Win,1
---xx--o-,Lose,4
o--xx--o-,Win,1
-o-xx--o-,Win,1
xo-xx--o-,Lose,2
ox-xx--o-,Tie,4
--oxx--o-,Win,1
x-oxx--o-,Lose,2
xooxx--o-,Win,1
-xoxx--o-,Tie,4
oxoxx--o-,Win,1
o-xxx--o-,Lose,2
-oxxx--o-,Lose,2
ooxxx--o-,Win,1
xx---o-o-,Win,1
x-x--o-o-,Win,1
-xx--o-o-,Win,1
xxx--o-o-,Lose,0
x--x-o-o-,Win,1
-x-x-o-o-,Win,3
xx-x-o-o-,Lose,2
xxox-o-o-,Win,1
--xx-o-o-,Win,3
x-xx-o-o-,Lose,2
xoxx-o-o-,Win,1
-xxx-o-o-,Tie,4
oxxx-o-o-,Tie,3
xx-xoo-o-,Win,1
x-xxoo-o-,Win,1
-xxxoo-o-,Win,1
xxxxoo-o-,Lose,0
x---xo-o-,Win,1
-x--xo-o-,Win,3
xx--xo-o-,Lose,2
xxo-xo-o-,Win,1
--x-xo-o-,Win,1
x-x-xo-o-,Lose,2
xox-xo-o-,Win,1
-xx-xo-o-,Lose,2
oxx-xo-o-,Win,1
xx-oxo-o-,Win,1
x-xoxo-o-,Win,1
-xxoxo-o-,Win,1
xxxoxo-o-,Lose,0
---xxo-o-,Win,3
x--xxo-o-,Lose,2
xo-xxo-o-,Win,1
-x-xxo-o-,Win,3
ox-xxo-o-,Tie,3
x-oxxo-o-,Win,1
-xoxxo-o-,Tie,3
xxoxxo-o-,Win,1
--xxxo-o-,Tie,4
o-xxxo-o-,Win,1
-oxxxo-o-,Win,1
xoxxxo-o-,Lose,2
oxxxxo-o-,Tie,2
-----x-o-,Win,5
x----x-o-,Tie,6
xo---x-o-,Win,3
-x---x-o-,Tie,6
ox---x-o-,Tie,5
x-o--x-o-,Win,3
-xo--x-o-,Tie,5
xxo--x-o-,Win,3
--x--x-o-,Win,5
o-x--x-o-,Win,1
-ox--x-o-,Win,1
xox--x-o-,Win,1
oxx--x-o-,Win,3
x--o-x-o-,Win,3
-x-o-x-o-,Win,3
xx-o-x-o-,Tie,4
xxoo-x-o-,Tie,3
--xo-x-o-,Win,1
x-xo-x-o-,Lose,2
xoxo-x-o-,Win,1
-xxo-x-o-,Lose,2
oxxo-x-o-,Win,1
---x-x-o-,Win,5
o--x-x-o-,Win,1
-o-x-x-o-,Win,1
xo-x-x-o-,Win,1
ox-x-x-o-,Tie,4
--ox-x-o-,Win,1
x-ox-x-o-,Lose,2
xoox-x-o-,Win,1
-xox-x-o-,Tie,4
oxox-x-o-,Win,1
o-xx-x-o-,Lose,2
-oxx-x-o-,Win,1
ooxx-x-o-,Win,1
x---ox-o-,Tie,5
-x--ox-o-,Win,3
xx--ox-o-,Tie,4
xxo-ox-o-,Tie,3
--x-ox-o-,Win,1
x-x-ox-o-,Win,1
xox-ox-o-,Lose,0
-xx-ox-o-,Lose,2
oxx-ox-o-,Win,1
xx-oox-o-,Win,1
x-xoox-o-,Win,1
-xxoox-o-,Win,1
xxxoox-o-,Lose,0
---xox-o-,Lose,4
x--xox-o-,Win,1
xo-xox-o-,Lose,0
-x-xox-o-,Win,3
ox-xox-o-,Tie,3
x-oxox-o-,Win,1
-xoxox-o-,Tie,3
xxoxox-o-,Win,1
--xxox-o-,Win,1
o-xxox-o-,Win,1
-oxxox-o-,Lose,0
oxxxox-o-,Win,1
----xx-o-,Lose,4
o---xx-o-,Win,1
-o--xx-o-,Win,1
xo--xx-o-,Lose,2
ox--xx-o-,Tie,4
--o-xx-o-,Win,1
x-o-xx-o-,Lose,2
xoo-xx-o-,Win,1
-xo-xx-o-,Tie,4
oxo-xx-o-,Win,1
o-x-xx-o-,Lose,2
-ox-xx-o-,Lose,2
oox-xx-o-,Win,1
---oxx-o-,Win,3
x--oxx-o-,Tie,4
xo-oxx-o-,Win,1
-x-oxx-o-,Win,3
ox-oxx-o-,Tie,3
x-ooxx-o-,Win,1
-xooxx-o-,Tie,3
xxooxx-o-,Tie,2
--xoxx-o-,Lose,2
o-xoxx-o-,Win,1
-oxoxx-o-,Win,1
xoxoxx-o-,Lose,2
oxxoxx-o-,Win,1
o--xxx-o-,Lose,0
-o-xxx-o-,Lose,0
--oxxx-o-,Lose,0
xooxxx-o-,Lose,0
oxoxxx-o-,Lose,0
ooxxxx-o-,Lose,0
xx----oo-,Win,1
x-x---oo-,Win,1
-xx---oo-,Win,1
xxx---oo-,Lose,0
x--x--oo-,Lose,4
-x-x--oo-,Win,5
xx-x--oo-,Win,1
xxox--oo-,Lose,2
--xx--oo-,Win,5
x-xx--oo-,Win,1
xoxx--oo-,Lose,2
-xxx--oo-,Win,1
oxxx--oo-,Tie,3
xx-xo-oo-,Win,1
x-xxo-oo-,Win,1
-xxxo-oo-,Win,1
xxxxo-oo-,Lose,0
x---x-oo-,Win,1
-x--x-oo-,Tie,5
xx--x-oo-,Win,1
xxo-x-oo-,Win,1
--x-x-oo-,Win,3
x-x-x-oo-,Win,1
xox-x-oo-,Win,1
-xx-x-oo-,Win,1
oxx-x-oo-,Lose,2
xx-ox-oo-,Win,1
x-xox-oo-,Win,1
-xxox-oo-,Win,1
xxxox-oo-,Lose,0
---xx-oo-,Win,1
x--xx-oo-,Win,1
xo-xx-oo-,Win,1
-x-xx-oo-,Win,1
ox-xx-oo-,Win,1
x-oxx-oo-,Win,1
-xoxx-oo-,Win,1
xxoxx-oo-,Win,1
--xxx-oo-,Win,1
o-xxx-oo-,Win,1
-oxxx-oo-,Win,1
xoxxx-oo-,Win,1
oxxxx-oo-,Win,1
xx-x-ooo-,Win,1
x-xx-ooo-,Win,1
-xxx-ooo-,Win,1
xxxx-ooo-,Lose,0
xx--xooo-,Win,1
x-x-xooo-,Win,1
-xx-xooo-,Win,1
xxx-xooo-,Lose,0
x--xxooo-,Win,1
-x-xxooo-,Tie,3
xx-xxooo-,Win,1
xxoxxooo-,Win,1
--xxxooo-,Tie,3
x-xxxooo-,Win,1
xoxxxooo-,Win,1
-xxxxooo-,Win,1
oxxxxooo-,Tie,1
x----xoo-,Win,3
-x---xoo-,Win,5
xx---xoo-,Win,1
xxo--xoo-,Lose,2
--x--xoo-,Win,1
x-x--xoo-,Win,1
xox--xoo-,Win,1
-xx--xoo-,Win,1
oxx--xoo-,Win,1
xx-o-xoo-,Win,1
x-xo-xoo-,Win,1
-xxo-xoo-,Win,1
xxxo-xoo-,Lose,0
---x-xoo-,Win,1
x--x-xoo-,Win,1
xo-x-xoo-,Win,1
-x-x-xoo-,Win,1
ox-x-xoo-,Win,1
x-ox-xoo-,Win,1
-xox-xoo-,Win,1
xxox-xoo-,Win,1
--xx-xoo-,Win,1
o-xx-xoo-,Win,1
-oxx-xoo-,Win,1
xoxx-xoo-,Win,1
oxxx-xoo-,Win,1
xx--oxoo-,Win,1
x-x-oxoo-,Win,1
-xx-oxoo-,Win,1
xxx-oxoo-,Lose,0
x--xoxoo-,Lose,2
-x-xoxoo-,Lose,2
xx-xoxoo-,Win,1
xxoxoxoo-,Lose,0
--xxoxoo-,Win,1
